vector_size,window,min_count,epochs,hs,negative,sample,self_similarity,second_similarity
100,3,4,8,1,0,0.1,0.6676666666666666,0.7673333333333333
100,3,4,8,1,0,0,0.669,0.773
100,3,4,10,1,0,0.1,0.6793333333333333,0.776
100,3,4,10,1,0,0,0.6726666666666666,0.7753333333333333
100,3,4,12,1,0,0.1,0.669,0.7733333333333333
100,3,4,12,1,0,0,0.6766666666666666,0.7713333333333333
100,3,4,15,1,0,0.1,0.6746666666666666,0.7743333333333333
100,3,4,15,1,0,0,0.6753333333333333,0.7716666666666666
100,3,4,20,1,0,0.1,0.6693333333333333,0.77
100,3,4,20,1,0,0,0.6693333333333333,0.7693333333333333
100,3,4,30,1,0,0.1,0.6656666666666666,0.7683333333333333
100,3,4,30,1,0,0,0.6666666666666666,0.7633333333333333
100,3,4,50,1,0,0.1,0.659,0.755
100,3,4,50,1,0,0,0.6473333333333333,0.7506666666666667
100,4,2,5,1,0,0.1,0.6313333333333333,0.7296666666666667
100,4,2,5,1,0,0,0.6293333333333333,0.729
100,4,2,8,1,0,0.1,0.6576666666666666,0.7653333333333333
100,4,2,8,1,0,0,0.6626666666666666,0.759
100,4,2,10,1,0,0.1,0.6713333333333333,0.7666666666666667
100,4,2,10,1,0,0,0.6663333333333333,0.7743333333333333
100,4,2,12,1,0,0.1,0.678,0.7803333333333333
100,4,2,12,1,0,0,0.676,0.782
100,4,2,15,1,0,0.1,0.6733333333333333,0.7753333333333333
100,4,2,15,1,0,0,0.6746666666666666,0.772
100,4,2,20,1,0,0.1,0.6783333333333333,0.773
100,4,2,20,1,0,0,0.6743333333333333,0.771
100,4,2,30,1,0,0.1,0.667,0.7666666666666667
100,4,2,30,1,0,0,0.669,0.7673333333333333
100,4,2,50,1,0,0.1,0.6473333333333333,0.752
100,4,2,50,1,0,0,0.654,0.7546666666666667
100,4,3,5,1,0,0.1,0.6256666666666667,0.7266666666666667
100,4,3,5,1,0,0,0.6276666666666667,0.7273333333333334
100,4,3,8,1,0,0.1,0.656,0.757
100,4,3,8,1,0,0,0.6493333333333333,0.7543333333333333
100,4,3,10,1,0,0.1,0.6683333333333333,0.7703333333333333
100,4,3,10,1,0,0,0.6683333333333333,0.7663333333333333
100,4,3,12,1,0,0.1,0.6726666666666666,0.773
100,4,3,12,1,0,0,0.6633333333333333,0.7646666666666667
100,4,3,15,1,0,0.1,0.671,0.7716666666666666
100,4,3,15,1,0,0,0.6673333333333333,0.7693333333333333
100,4,3,20,1,0,0.1,0.6726666666666666,0.7746666666666666
100,4,3,20,1,0,0,0.6663333333333333,0.765
100,4,3,30,1,0,0.1,0.6623333333333333,0.7566666666666667
100,4,3,30,1,0,0,0.6633333333333333,0.7593333333333333
100,4,3,50,1,0,0.1,0.6563333333333333,0.7553333333333333
100,4,3,50,1,0,0,0.6466666666666666,0.7436666666666667
100,4,4,5,1,0,0.1,0.6216666666666667,0.7206666666666667
100,4,4,5,1,0,0,0.622,0.7203333333333334
100,4,4,8,1,0,0.1,0.6616666666666666,0.7596666666666667
100,4,4,8,1,0,0,0.6563333333333333,0.753
100,4,4,10,1,0,0.1,0.6726666666666666,0.77
100,4,4,10,1,0,0,0.6636666666666666,0.7603333333333333
100,4,4,12,1,0,0.1,0.6663333333333333,0.768
100,4,4,12,1,0,0,0.6676666666666666,0.7673333333333333
100,4,4,15,1,0,0.1,0.668,0.767
100,4,4,15,1,0,0,0.673,0.773
100,4,4,20,1,0,0.1,0.6636666666666666,0.7593333333333333
100,4,4,20,1,0,0,0.6666666666666666,0.766
100,4,4,30,1,0,0.1,0.6626666666666666,0.762
100,4,4,30,1,0,0,0.6606666666666666,0.7616666666666667
100,4,4,50,1,0,0.1,0.6466666666666666,0.7426666666666667
100,4,4,50,1,0,0,0.6483333333333333,0.7513333333333333
130,2,2,5,1,0,0.1,0.6733333333333333,0.768
130,2,2,5,1,0,0,0.6653333333333333,0.7643333333333333
130,2,2,8,1,0,0.1,0.6863333333333334,0.7816666666666666
130,2,2,8,1,0,0,0.682,0.775
130,2,2,10,1,0,0.1,0.6813333333333333,0.777
130,2,2,10,1,0,0,0.6816666666666666,0.7806666666666666
130,2,2,12,1,0,0.1,0.673,0.774
130,2,2,12,1,0,0,0.6833333333333333,0.789
130,2,2,15,1,0,0.1,0.676,0.778
130,2,2,15,1,0,0,0.6773333333333333,0.7796666666666666
130,2,2,20,1,0,0.1,0.681,0.7803333333333333
130,2,2,20,1,0,0,0.6796666666666666,0.7786666666666666
130,2,2,30,1,0,0.1,0.6633333333333333,0.7763333333333333
130,2,2,30,1,0,0,0.6643333333333333,0.7703333333333333
